comparrison,statistic,signif.level,dif.com.obs.dif,dif.com.critical.dif,dif.com.difference
Melanesia-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,542.6556587547298,670.4320676229436,FALSE
Melanesia-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,659.9772649091537,663.5399501487226,FALSE
Melanesia-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,426.9780281862181,743.3951736856459,FALSE
Melanesia-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,661.5151880491112,831.6770084138052,FALSE
Micronesia-Northern Africa,Multiple comparison test after Kruskal-Wallis,0.05,117.55465719092263,1128.726150558,FALSE
Micronesia-Northern America,Multiple comparison test after Kruskal-Wallis,0.05,202.50229545827233,1325.424226151018,FALSE
Micronesia-Northern Europe,Multiple comparison test after Kruskal-Wallis,0.05,586.0692812127404,1209.6761920121926,FALSE
Micronesia-Polynesia,Multiple comparison test after Kruskal-Wallis,0.05,644.4419842710222,1263.6201795219163,FALSE
Micronesia-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,335.9144220846233,1100.1011912649872,FALSE
Micronesia-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,28.65803397382342,1221.4101386670734,FALSE
Micronesia-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,31.240454076367314,1101.6323001357453,FALSE
Micronesia-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,148.5620602307913,1097.45151731116,FALSE
Micronesia-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,84.43717649214432,1147.4976913546752,FALSE
Micronesia-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,150.09998337074876,1206.5658762493388,FALSE
Northern Africa-Northern America,Multiple comparison test after Kruskal-Wallis,0.05,320.05695264919495,859.3185672414579,FALSE
Northern Africa-Northern Europe,Multiple comparison test after Kruskal-Wallis,0.05,703.623938403663,667.0798379946783,TRUE
Northern Africa-Polynesia,Multiple comparison test after Kruskal-Wallis,0.05,526.8873270800996,760.5359812874646,FALSE
Northern Africa-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,453.46907927554594,438.0658075683735,TRUE
Northern Africa-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,146.21269116474605,688.1291648931955,FALSE
Northern Africa-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,148.79511126728994,441.89675880261905,FALSE
Northern Africa-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,266.11671742171393,431.36858205768095,FALSE
Northern Africa-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,33.11748069877831,546.2874448513315,FALSE
Northern Africa-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,267.6546405616714,661.4228862590267,FALSE
Northern America-Northern Europe,Multiple comparison test after Kruskal-Wallis,0.05,383.5669857544681,963.1833504445301,FALSE
Northern America-Polynesia,Multiple comparison test after Kruskal-Wallis,0.05,846.9442797292945,1030.117291936909,FALSE
Northern America-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,133.41212662635098,821.3576006071141,FALSE
Northern America-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,173.8442614844489,977.879544673653,FALSE
Northern America-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,171.26184138190501,823.4071907354249,FALSE
Northern America-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,53.940235227481026,817.8053007293354,FALSE
Northern America-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,286.93947195041665,883.8306561308796,FALSE
Northern America-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,52.40231208752357,959.274147875239,FALSE
Northern Europe-Polynesia,Multiple comparison test after Kruskal-Wallis,0.05,1230.5112654837626,876.1899025899153,TRUE
Northern Europe-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,250.1548591281171,617.4102512334646,FALSE
Northern Europe-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,557.411247238917,814.1348255321383,FALSE
Northern Europe-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,554.8288271363731,620.1342693384221,FALSE
Northern Europe-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,437.5072209819491,612.6766032370526,FALSE
Northern Europe-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,670.5064577048847,698.3722066132323,FALSE
Northern Europe-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,435.96929784199165,791.6905967831499,FALSE
Polynesia-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,980.3564063556455,717.3666335299199,TRUE
Polynesia-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,673.1000182448456,892.3200001782577,FALSE
Polynesia-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,675.6824383473895,719.7124290866312,FALSE
Polynesia-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,793.0040445018135,713.2966344572034,TRUE
Polynesia-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,560.0048077788779,788.1263905895523,FALSE
Polynesia-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,794.541967641771,871.8907440779151,FALSE
South-eastern Asia-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,307.2563881107999,640.0950364170701,FALSE
South-eastern Asia-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,304.673968008256,362.59157947947955,FALSE
South-eastern Asia-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,187.352361853832,349.6838023924155,FALSE
South-eastern Asia-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,420.35159857676763,484.38608616614937,FALSE
South-eastern Asia-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,185.81443871387455,611.2938266794332,FALSE
Southern Asia-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,2.5824201025438924,642.722918002384,FALSE
Southern Asia-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,119.90402625696788,635.5303749402489,FALSE
Southern Asia-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,113.09521046596774,718.5053766586827,FALSE
Southern Asia-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,121.44194939692534,809.5061694344648,FALSE
Southern Europe-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,117.32160615442399,354.4712334384085,FALSE
Southern Europe-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,115.67763056851163,487.8534351125234,FALSE
Southern Europe-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,118.85952929438145,614.0449789845316,FALSE
Sub-Saharan Africa-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,232.99923672293562,478.33783280991196,FALSE
Sub-Saharan Africa-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,1.5379231399574564,606.5124436994743,FALSE
Western Asia-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,234.53715986289308,692.9707520365131,FALSE
